2021-07-27 21:32:02 INFO  Log4j:10 - Test is Starting...
2021-07-27 21:32:05 INFO  Log4j:20 - Opening Page : https://www.amazon.com/
2021-07-27 21:32:06 INFO  Log4j:20 - Hower over to the Sign In Menu
2021-07-27 21:32:08 INFO  Log4j:20 - Waiting for loading of page
2021-07-27 21:32:09 INFO  Log4j:20 - Sign In button is Clicked
2021-07-27 21:32:09 INFO  Log4j:20 - Email Entered.
2021-07-27 21:32:11 INFO  Log4j:20 - Continue button Clicked
2021-07-27 21:32:11 INFO  Log4j:20 - Password TextBox cleared.
2021-07-27 21:32:11 INFO  Log4j:20 - Password Entered.
2021-07-27 21:32:11 INFO  Log4j:20 - Sign In button is Clicked
2021-07-27 21:32:15 INFO  Log4j:20 - Search term typed to the textbox
2021-07-27 21:32:15 INFO  Log4j:20 - Search term taken from the search textbox.
2021-07-27 21:32:15 INFO  Log4j:20 - Product details taken from Website to products txt file.
2021-07-27 21:32:15 INFO  Log4j:20 - Waiting for loading of page
2021-07-27 21:32:19 INFO  Log4j:20 - Clicked the search button
2021-07-27 21:32:21 INFO  Log4j:20 - Waiting for loading of page
2021-07-27 21:32:26 INFO  Log4j:20 - Clicked the first product
2021-07-27 21:32:27 INFO  Log4j:20 - Product Name added to the products txt file.
2021-07-27 21:32:29 INFO  Log4j:20 - Product added to cart.
2021-07-27 21:32:31 INFO  Log4j:20 - Cart button is clicked.
2021-07-27 21:32:35 INFO  Log4j:20 - Waiting for loading of page
2021-07-27 21:32:35 INFO  Log4j:20 - Product Name added to the products txt file.
2021-07-27 21:32:35 INFO  Log4j:20 - Product Value added to the products txt file.
2021-07-27 21:32:35 INFO  Log4j:20 - Product Quantity added to the products txt file.
2021-07-27 21:32:35 INFO  Log4j:20 - Product Total Value added to the products txt file.
2021-07-27 21:32:35 INFO  Log4j:20 - Counts of Product added to the products txt file.
2021-07-27 21:32:36 INFO  Log4j:20 - Navigate back to the homePage 
2021-07-27 21:32:40 INFO  Log4j:20 - Proceed to the checkout page
2021-07-27 21:32:43 INFO  Log4j:20 - Adress entered to the system.
2021-07-27 21:32:43 INFO  Log4j:20 - Product Value added to the products txt file.
2021-07-27 21:32:43 INFO  Log4j:20 - Product Value added to the products txt file.
2021-07-27 21:32:43 INFO  Log4j:20 - Product Quantity added to the products txt file.
2021-07-27 21:32:43 INFO  Log4j:20 - Product Value added to the products txt file.
